id,campaign,clients,service_type,goal,remaining,desired_daily,url,start_date,status,confirm_start_date,ask_for_access,ask_client_for_yt_ss,views_stalled,paid_r,sale_price,invoice,comments,in_fixer,client_notes,created_at,updated_at
212,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=iVMkx_J-lno,4/18/2025,Complete,checked,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1N7ddqZRLqf8hdasN9jWYOQLlAYsvL077RW8a35wcH0E/edit?gid=0#gid=0,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
213,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=2KQZrFjSba8,4/18/2025,Complete,checked,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1lYariKWRoM57u_ECg33flO3V11gbmBKlsozSX7IC6Lw/edit?gid=0#gid=0,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
214,,Dim Mak,LATAM Display,80000,44000,,https://www.youtube.com/watch?v=2KQZrFjSba8,4/18/2025,Complete,,,,checked,Yes,$480,Paid,https://docs.google.com/spreadsheets/d/1lYariKWRoM57u_ECg33flO3V11gbmBKlsozSX7IC6Lw/edit?gid=0#gid=0,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
215,,IDK,US/EUR Website,20000,20000,,https://www.youtube.com/watch?v=xc_B_YJMhko,4/16/2025,Complete,,,,,Yes,$250,Paid,https://docs.google.com/spreadsheets/d/1fRLYCjSNKqKcP_T94hlJ25P8Xf-NHmR2iDKmtShCm3E/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
216,,Dim Mak,LATAM Display,30000,0,4000,https://www.youtube.com/watch?v=TOcG7SNcdXM,4/11/2025,Complete,,,,checked,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/14i6jfzKyTo_OSSJ4_af15udls46KVuosKtCSvNB_Ke8/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
217,,Dim Mak,EUR Website,10000,3000,,https://www.youtube.com/watch?v=TOcG7SNcdXM,4/11/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/14i6jfzKyTo_OSSJ4_af15udls46KVuosKtCSvNB_Ke8/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
218,,Dim Mak,EUR Website,10000,0,,https://www.youtube.com/watch?v=oeZ-iR_xl7I,4/10/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1Q9kYaAATjlBG91pb6iHP2k8I-AcuKy6dervdWMGQd9k,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
219,,Dim Mak,LATAM Display,30000,-7000,4000,https://www.youtube.com/watch?v=oeZ-iR_xl7I,4/10/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1Q9kYaAATjlBG91pb6iHP2k8I-AcuKy6dervdWMGQd9k,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
220,,Dim Mak,LATAM Display,35000,35000,4000,https://www.youtube.com/watch?v=wdbCuj5OZ2c,4/10/2025,Complete,,,,checked,Yes,$200,Paid,https://docs.google.com/spreadsheets/d/1icCsx3UFTA3EK7MpgjQS3sbclmX0XG0Sr0fFBm3u5EY,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
221,,Dim Mak,LATAM Display,30000,-44000,4000,https://www.youtube.com/watch?v=PyJ3UE9jgPE,4/4/2025,Complete,,,,checked,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1v4JSIPVCeK0Db_I_DFHeUfOcWmdeP80EFaDuaaOz-rI,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
222,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=PyJ3UE9jgPE,4/4/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1v4JSIPVCeK0Db_I_DFHeUfOcWmdeP80EFaDuaaOz-rI,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
223,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=3Eo68UO_2zY,4/4/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1v2y0g5NELQQwKSsO9NWw_Hc1KfchRQNE4eC60IhZHZA,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
224,,Dim Mak,LATAM Display,30000,-15000,4000,https://www.youtube.com/watch?v=3Eo68UO_2zY,4/4/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1v2y0g5NELQQwKSsO9NWw_Hc1KfchRQNE4eC60IhZHZA,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
225,,Dim Mak,LATAM Display,30000,30000,4000,https://www.youtube.com/watch?v=5GE2Tc4uMyM,3/28/2025,Complete,,,,checked,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1EM5QnN9RVLJyYnjz-kxgUvH3pLZOMfnRCic9SYRgcIU/edit?gid=0#gid=0,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
226,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=5GE2Tc4uMyM,3/28/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1EM5QnN9RVLJyYnjz-kxgUvH3pLZOMfnRCic9SYRgcIU/edit?gid=0#gid=0,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
227,,Carbon Sigil,EUR Website,10000,10000,,https://www.youtube.com/watch?v=04LGCEv1ruY,3/28/2025,Complete,,,,,Yes,$120,Paid,N/A,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
228,,Insomniac (Tylie),LATAM Display,130000,130000,,https://www.youtube.com/watch?v=ZOb4XIvpeP0,3/28/2025,Complete,,,,,Yes,$750,Paid,N/A,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
229,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=gXEAI-SgmxI,3/28/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1g97qdYyXm-O-Mm40GdMSNvzdNvlXIp3PeXWfA8EfhsU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
230,,Dim Mak,LATAM Display,30000,30000,4000,https://www.youtube.com/watch?v=gXEAI-SgmxI,3/28/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1g97qdYyXm-O-Mm40GdMSNvzdNvlXIp3PeXWfA8EfhsU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
231,,Monta,US Website,10000,10000,,https://www.youtube.com/watch?v=NU8VD3HXvcc&t=2s,3/25/2025,Complete,,,,,Yes,$130,Paid,https://docs.google.com/spreadsheets/d/1YJ13awHGiq2iiCcy3u05_3-yC4LbPD_lkqtPVYpjrSU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
232,,Monta,LATAM Display,25000,25000,,https://www.youtube.com/watch?v=NU8VD3HXvcc&t=2s,3/25/2025,Complete,,,,,Yes,$170,Paid,https://docs.google.com/spreadsheets/d/1YJ13awHGiq2iiCcy3u05_3-yC4LbPD_lkqtPVYpjrSU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
233,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=n9pHjyO6DLM,3/21/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1GmzMfWFSsk12duswf6TofIp758BXhQxQ74TVs_ctYFQ,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
234,,Dim Mak,LATAM Display,30000,30000,4000,https://www.youtube.com/watch?v=n9pHjyO6DLM,3/21/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1GmzMfWFSsk12duswf6TofIp758BXhQxQ74TVs_ctYFQ,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
235,,Dim Mak,LATAM Display,30000,30000,4000,https://www.youtube.com/watch?v=HSqMnHg5iGU,3/21/2025,Complete,,,,checked,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1D0ar_HHf6d4rgCp0u2CzXkYepIgsxxYy4DOOxaZPXVY,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
236,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=HSqMnHg5iGU,3/21/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1D0ar_HHf6d4rgCp0u2CzXkYepIgsxxYy4DOOxaZPXVY,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
237,,Code Red,EUR Website,10000,10000,,https://www.youtube.com/watch?v=QkvwpcB709o,3/21/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1_8Uf4TJ9olo4lI_dvjUkTpbubYxckp4Y0_YOmxY8thA,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
238,,Code Red,LATAM Display,20000,20000,4000,https://www.youtube.com/watch?v=QkvwpcB709o,3/21/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1_8Uf4TJ9olo4lI_dvjUkTpbubYxckp4Y0_YOmxY8thA,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
239,,IDK,WW Skip,500000,0,,https://www.youtube.com/watch?v=brsfopkIQvQ,3/21/2025,Complete,,,,checked,Yes,$900,Paid,https://docs.google.com/spreadsheets/d/1GYzKqkGtahFw-dVEicp3cA0trzllEQCo8a418L3_6IM/edit?gid=0#gid=0,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
240,,Insomniac (Tylie),EUR Website,10000,10000,,https://www.youtube.com/watch?v=q5JTWWjILrc,3/17/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1nz2_H_oieMNJUqH_DdrVHeBHPoTVheoOxuAvS-fg-3I,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
241,,Insomniac (Tylie),LATAM Display,25000,25000,,https://www.youtube.com/watch?v=q5JTWWjILrc,3/17/2025,Complete,,,,,Yes,$130,Paid,https://docs.google.com/spreadsheets/d/1nz2_H_oieMNJUqH_DdrVHeBHPoTVheoOxuAvS-fg-3I,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
242,,Dim Mak,LATAM Display,18000,18000,,https://www.youtube.com/watch?v=hgfxc-GfQyA,3/17/2025,Complete,,,,checked,Yes,$100,Paid,N/A,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
243,,Dim Mak,LATAM Display,18000,18000,,https://www.youtube.com/watch?v=NP7ufe7FVCg,3/17/2025,Complete,,,,checked,Yes,$100,Paid,N/A,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
244,,Dim Mak,LATAM Display,18000,18000,,https://www.youtube.com/watch?v=hgfxc-GfQyA,3/17/2025,Complete,,,,checked,Yes,$100,Paid,N/A,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
245,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=zOjQzLS8oXw,3/14/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1WB2ZzDEDkUyd5Z17p0VK6en8q3vT0XpXPz_PFlt4tMw/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
246,,Dim Mak,LATAM Display,30000,30000,4000,https://www.youtube.com/watch?v=zOjQzLS8oXw,3/14/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1WB2ZzDEDkUyd5Z17p0VK6en8q3vT0XpXPz_PFlt4tMw/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
247,,IDK,WW Skip,500000,350000,,https://www.youtube.com/watch?v=tVdp-IcRyYg,3/11/2025,Complete,,,,checked,Yes,$1800,Paid,https://docs.google.com/spreadsheets/d/14A3DRVvCMj3ZLsAN-tUpV53a8-vsGQd7fFMeZP8hVrU,checked,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
248,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=NoyRXsJ1D7w,3/7/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1XR3GiDnk_SmQNL5iYhusm-bJvCXxhnPvvOaz_ieiFac,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
249,,Dim Mak,LATAM Display,30000,30000,,https://www.youtube.com/watch?v=NoyRXsJ1D7w,3/7/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1XR3GiDnk_SmQNL5iYhusm-bJvCXxhnPvvOaz_ieiFac,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
250,,Dim Mak,US Website,20000,20000,,https://youtu.be/VNOancR690I,3/7/2025,Complete,,,,checked,Yes,$260,Paid,https://docs.google.com/spreadsheets/d/1nxmPH_blxrjOZUi7jIqf5g2JlO463lXKXNTJ2n_SbZU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
251,,Dim Mak,LATAM Display,100000,100000,,https://youtu.be/VNOancR690I,3/7/2025,Complete,,,,,Yes,$560,Paid,https://docs.google.com/spreadsheets/d/1nxmPH_blxrjOZUi7jIqf5g2JlO463lXKXNTJ2n_SbZU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
252,,Dim Mak,EUR Website,10000,10000,,https://youtu.be/VNOancR690I,3/7/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1nxmPH_blxrjOZUi7jIqf5g2JlO463lXKXNTJ2n_SbZU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
253,,Dim Mak,WW Website,25000,25000,,https://www.youtube.com/watch?v=47kDGpBTXxw,3/7/2025,Complete,,,,,Yes,$100,Paid,https://docs.google.com/spreadsheets/d/1_6nj5wiGD34VvY8b_y_Q1j3DJZfnY-xp6I_-FlGJUG4,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
254,,Dim Mak,LATAM Display,50000,50000,,https://www.youtube.com/watch?v=47kDGpBTXxw,3/7/2025,Complete,,,,,Yes,$280,Paid,https://docs.google.com/spreadsheets/d/1_6nj5wiGD34VvY8b_y_Q1j3DJZfnY-xp6I_-FlGJUG4,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
255,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=47kDGpBTXxw,3/7/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1_6nj5wiGD34VvY8b_y_Q1j3DJZfnY-xp6I_-FlGJUG4,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
256,,Electric Feel,US Website Ads,10000,10000,,https://www.youtube.com/watch?v=4us6hJE7fJs,3/1/2025,Complete,,,,checked,Yes,$125,Paid,https://docs.google.com/spreadsheets/d/17mSs4zM_ywwnit5PxfSKHFfpt5aBSV6hgds7XLDV44M/edit?gid=0#gid=0,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
257,,Electric Feel,WW Display,50000,50000,,https://www.youtube.com/watch?v=4us6hJE7fJs,3/1/2025,Complete,,,,,Yes,$450,Paid,https://docs.google.com/spreadsheets/d/17mSs4zM_ywwnit5PxfSKHFfpt5aBSV6hgds7XLDV44M/edit?gid=0#gid=0,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
258,,Electric Feel,EUR Website,50000,50000,,https://www.youtube.com/watch?v=4us6hJE7fJs,3/1/2025,Complete,,,checked,,Yes,$500,Paid,https://docs.google.com/spreadsheets/d/17mSs4zM_ywwnit5PxfSKHFfpt5aBSV6hgds7XLDV44M/edit?gid=0#gid=0,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
259,,Code Red,US Website,10000,10000,,https://youtu.be/FdhVDvW_pKg,3/1/2025,Complete,,,,,Yes,$130,Paid,https://docs.google.com/spreadsheets/d/1g3w1Rb0b1r0mx4xbC_ZD1Cy1qCUxpAWazB-cFiJJb2Y/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
260,,Code Red,LATAM Display,30000,30000,,https://youtu.be/FdhVDvW_pKg,3/1/2025,Complete,,,,,Yes,$170,Paid,https://docs.google.com/spreadsheets/d/1g3w1Rb0b1r0mx4xbC_ZD1Cy1qCUxpAWazB-cFiJJb2Y/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
261,,Medium Rare,LATAM Display,100000,100000,,https://www.youtube.com/watch?v=KBYGI8cx3R0&pp=ygUFZ29yZG8%3D,3/1/2025,Complete,,,,,Yes,$550,Paid,https://docs.google.com/spreadsheets/d/124Uk67SvFMBBH0zfKYrZ8RKOyLVwUL6VvafLhhxAmbo/edit,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
262,,Dim Mak,US Website,10000,10000,,https://www.youtube.com/watch?v=P9sz0uUA1-k,2/28/2025,Complete,,,,,Yes,$130,Paid,https://docs.google.com/spreadsheets/d/1DGFgb1Ot9FKdM_U9Ll1YZIgT6eMqgpOP-C35AhgFW4c/edit?gid=0#gid=0,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
263,,Dim Mak,LATAM Display,30000,30000,,https://www.youtube.com/watch?v=P9sz0uUA1-k,2/28/2025,Complete,,,,,Yes,$170,Paid,https://docs.google.com/spreadsheets/d/1DGFgb1Ot9FKdM_U9Ll1YZIgT6eMqgpOP-C35AhgFW4c/edit?gid=0#gid=0,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
264,,Dim Mak,LATAM Display,30000,30000,,https://www.youtube.com/watch?v=w50O5aUjKQs,2/28/2025,Complete,,,,checked,Yes,$170,Paid,https://docs.google.com/spreadsheets/d/1Q7ksEKtve0vvYSkqBG1reOSeXJaJpx7DwVmqIvVPbBU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
265,,Dim Mak,US Website,10000,10000,,https://www.youtube.com/watch?v=w50O5aUjKQs,2/28/2025,Complete,,,,,Yes,$130,Paid,https://docs.google.com/spreadsheets/d/1Q7ksEKtve0vvYSkqBG1reOSeXJaJpx7DwVmqIvVPbBU,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
266,,Shalizi Group,US Website,80000,80000,,https://www.youtube.com/watch?v=FbyRwvpWgcg,2/28/2025,Complete,,,,checked,Yes,$1000,Paid,https://docs.google.com/spreadsheets/d/1H3tTeTvWxVt4XPsTz1FrVaZ4Te2y-hCR6rL-yoPk0r0/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
267,,Shalizi Group,US Website,20000,20000,,https://www.youtube.com/watch?v=Do4YkXk548s,2/28/2025,Complete,,,,checked,Yes,$260,Paid,https://docs.google.com/spreadsheets/d/1EB-cDo0SzuUGYYqVjijYpP8Frij-TzsBcfqUifhKo0o/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
268,,Shalizi Group,WW Display,35000,35000,,https://www.youtube.com/watch?v=Do4YkXk548s,2/28/2025,Complete,,,,,Yes,$240,Paid,https://docs.google.com/spreadsheets/d/1EB-cDo0SzuUGYYqVjijYpP8Frij-TzsBcfqUifhKo0o/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
269,,Carbon Sigil,EUR Display,10000,10000,,https://youtu.be/X1NbQLvqRM4,2/26/2025,Complete,,,,checked,Yes,$100,Paid,https://docs.google.com/spreadsheets/d/1NSgzivl-WDomV57BXjzSyWAWbxjxTpcIp_bObNgzLwg/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
270,,Prairy,WW Display,25000,25000,,https://www.youtube.com/watch?v=X8OxDwpY2NE,2/25/2025,Complete,,,,checked,Yes,$175,Paid,https://docs.google.com/spreadsheets/d/1MoWlmtbKoi7nMfExRVUi84F8_vmqvYraVhMsZpt2Riw/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
271,,Prairy,WW Display,25000,25000,,https://www.youtube.com/watch?v=fDPawBNXZcY,2/25/2025,Paid,,,,,Yes,$175,Paid,https://docs.google.com/spreadsheets/d/1cbuPNxA60stTOO0KE3GTjHcv9fFXpWAKaX7LskSNnjw/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
272,,Prairy,WW Display,35000,35000,,https://www.youtube.com/watch?v=VOKyJ3e-8Rg,2/25/2025,Complete,,,,,Yes,$245,Paid,https://docs.google.com/spreadsheets/d/16av5Uwlrpp9s3koi_MEL10sr625vUJXNck94AcuXnDk/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
273,,Prairy,EUR Website,15000,15000,,https://www.youtube.com/watch?v=VOKyJ3e-8Rg,2/25/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/16av5Uwlrpp9s3koi_MEL10sr625vUJXNck94AcuXnDk/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
274,,Prairy,WW Website,200000,200000,,https://youtu.be/pJuL9O40UTM,2/24/2025,Complete,,,,,Yes,,Paid,https://docs.google.com/spreadsheets/d/1aEyRovSRFqmyR4Iymf2rJG_KJ9-ED79m4kYyuanE3ME,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
275,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=Xz3POYC6jPA,2/21/2025,Complete,,,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/17MTrGamIjpJ64EJXhGpDry5hRafAGqrSVrIWy76ArlE/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
276,,Dim Mak,LATAM Display,25000,25000,,https://www.youtube.com/watch?v=Xz3POYC6jPA,2/21/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/17MTrGamIjpJ64EJXhGpDry5hRafAGqrSVrIWy76ArlE/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
277,,Prairy,WW Website,800000,800000,,https://www.youtube.com/watch?v=E1-3HwGVbk0,2/21/2025,Complete,,,,,Yes,$1800,Paid,https://docs.google.com/spreadsheets/d/1rrz_r90zCxZ5UJluq-Y1cMEaqvqlIzEblz-D6WpTA00,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
278,,Patrick Reza,LATAM Display,20000,20000,,https://www.youtube.com/watch?v=3MdHIMNc2a4&pp=ygUcUGF0cmljayBSZXphIC0gV2hhdCBJIEJlY29tZQ%3D%3D,2/21/2025,Complete,,,,checked,Yes,$100,Paid,https://docs.google.com/spreadsheets/d/1iPusJwVi8RJFKc56qlRKM33Drzu7tpxIK5y6QkFW4LA/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
279,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=3bbmJQj3gnc,2/21/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1Xr0LLXUTeUkYNr4ZCDqrwauZpwLhM6wOiK-eiOALpuE/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
280,,Dim Mak,LATAM Display,50000,50000,,https://www.youtube.com/watch?v=3bbmJQj3gnc,2/21/2025,Complete,,,,,Yes,$280,Paid,https://docs.google.com/spreadsheets/d/1Xr0LLXUTeUkYNr4ZCDqrwauZpwLhM6wOiK-eiOALpuE/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
281,,Dim Mak,WW Website,25000,25000,,https://www.youtube.com/watch?v=3bbmJQj3gnc,2/21/2025,Complete,,,,,Yes,$100,Paid,https://docs.google.com/spreadsheets/d/1Xr0LLXUTeUkYNr4ZCDqrwauZpwLhM6wOiK-eiOALpuE/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
282,,Strobez,EUR Website,10000,10000,,https://youtu.be/OzC1Wehh3js,2/20/2025,Complete,,,,,Yes,$0,N/A,https://docs.google.com/spreadsheets/d/1dnG8qxuHsaGMurUJe6qeWsYgAY_DP3UTPAV4hTndrmA/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
283,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=JteWjMItKJk,2/14/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1ShWP50M9IDU4dhHXT85JOdmtA8HMUn5fluxTG4GuNhI/edit?usp=drive_link,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
284,,Dim Mak,LATAM Website,50000,50000,,https://www.youtube.com/watch?v=JteWjMItKJk,2/14/2025,Complete,,,,,Yes,$280,Paid,https://docs.google.com/spreadsheets/d/1ShWP50M9IDU4dhHXT85JOdmtA8HMUn5fluxTG4GuNhI/edit?usp=drive_link,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
285,,Dim Mak,WW Website,25000,25000,,https://www.youtube.com/watch?v=JteWjMItKJk,2/14/2025,Complete,,,,,Yes,$100,Paid,https://docs.google.com/spreadsheets/d/1ShWP50M9IDU4dhHXT85JOdmtA8HMUn5fluxTG4GuNhI/edit?usp=drive_link,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
286,,Dim Mak,EUR Website,10000,10000,,https://www.youtube.com/watch?v=rFY9cSYmGTE,2/14/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1-o2N0hwO1JbH-qP_mX1iBy3RzwVNpil-BsUOnwlqTiw/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
287,,Dim Mak,LATAM Display,25000,25000,,https://www.youtube.com/watch?v=rFY9cSYmGTE,2/14/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1-o2N0hwO1JbH-qP_mX1iBy3RzwVNpil-BsUOnwlqTiw/edit?usp=sharing,,,2025-09-23T21:39:18.899793+00:00,2025-09-23T21:39:18.899793+00:00
