Campaign,Clients,Start Date,Price,Spend,Remaining,Sound URL,Status,Tracker,Campaign Started,Send Tracker,Send Final Report,Invoice,Salespeople,Report Notes,Client Notes,Paid Ops?
Gentlemens Club - You,Insomniac (Helene),4/11/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/1ZXuKEuTuptd2iuJXPrEF5?si=dpopjMl2TreZtvwakBhYRQ,Completed,https://music.cobrand.com/promote/7572df5e-832c-4627-9301-e837fc263e77/share?token=GlEQtd-pCOdp-l6b5QzV7vetEouR0YofRIUfMjwsCTs,checked,checked,checked,Paid,Jared,,@gentlemensclub @sarahdewarren,checked
Max Styler - I Know You Want To,Insomniac (Helene),4/11/2025,$350.00,$245.00,$0.00,https://open.spotify.com/track/3qhf5WajCHsJibQ7cQ2qYS?si=WFOkWnHjQcS_HE5egyXEtg,Completed,https://music.cobrand.com/promote/069f67b0-9ece-45e5-8400-88ab1fc3d448/share?token=1deXXAN3PMiKqKmKiXqgcMaSEM16BoHLT1qVG5lagmQ,checked,checked,checked,Paid,Jared,,@maxstyler,checked
Francis Mercier - Sauti,Insomniac (Helene),4/11/2025,$350.00,$245.00,$0.00,https://open.spotify.com/track/3wlEt7tgbcyowpdlcnCwfz?si=4UcKwgk6TZei5zhD3cU_lg,Completed,https://music.cobrand.com/promote/80ae8c2c-057f-4852-8b42-31e03c199940/share?token=6sSTVb2JqnazgIAO0zPHcSpzQMmiCjydluDbfn4vlOI,checked,checked,checked,Paid,Jared,,@francismercier,checked
Kozmoz - The Backrooms Experience,Kozmoz,4/10/2025,$350.00,$205.00,$0.00,https://soundcloud.com/iamkozmoz/the-backrooms-experience,Completed,https://music.cobrand.com/promote/81814921-0c80-438a-9ef9-d9b748b10900/share?token=jwxn30EeN_SgycTzIZYFTYGJePxrpVljl0xW8T_jjbI,checked,checked,checked,Paid,Jared,,@kozmozmusic,checked
Back In Bidness (Dr. Fresch Flip),Keel,4/8/2025,$500.00,$350.00,$0.00,https://on.soundcloud.com/R9kWAGo2RDi6dFQA7,Completed,https://music.cobrand.com/promote/ab8e49fa-e9f9-4a27-97f4-41c3b718a940/share?token=USVtbVL2YbcGlsmNEv7E4IOw7KbtdeVAgW76thISMVI,checked,checked,checked,Paid,Jared,,@drfresch,checked
MADGRRL - TECHNO DRUG,Dark Roast,4/4/2025,$500.00,$370.00,$0.00,https://open.spotify.com/track/4eTcsnhvSpCqraE0OQRr5T,Completed,https://music.cobrand.com/promote/d601cde3-345a-4c0c-83a5-41a20fbc4dd1/share?token=Jc7OvnySoweyXSihEggOlvZOsUN8hhA2svcZjTP6bFo,checked,checked,checked,Paid,Jared,,@madgrrlmusic,checked
Myles O'Neal - Work You Out,Myles O'Neal,4/3/2025,$400.00,$280.00,$0.00,https://open.spotify.com/track/5yEtQbDRIGYT5j6q5Yf91B,Completed,https://music.cobrand.com/promote/77aaa512-2fba-491e-9755-d1b9a8da6b38/share?token=d5hdHvx_WXhJnfeEzLqtUbaG79n0YbdyVRxrUMS9qJg,,checked,checked,Paid,Jared,,,checked
In Your Head (Daunter),Daunter,3/28/2025,$250.00,$250.00,$0.00,https://soundcloud.com/daunter-music/in-your-head-daunter-redux?si=3d7526db07d6488498ab490ec2b5aad5&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/ca670973-bfa8-4906-97dc-0db404001106/share?token=bc3jqI8A-gF_OTWg1RTSzhIL9GwAl_mMWFHyzW8BLu4,checked,checked,,Paid,Jared,,,checked
HGods - THE COMMOTION,Hgods,3/24/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/0mgknu0NQIMgzqiqiYC2wz,Completed,https://music.cobrand.com/promote/acd50c3b-8c2a-475a-a163-a57fab8d2d78/share?token=CnviuFMIqgl5TrLbTyifWEWy59rMgcg8KWoKxdKx3z0,checked,checked,checked,Paid,Katt,"Post redone, performing well",,checked
Code Red - A Moment In Time,Code Red,3/21/2025,$500.00,$350.00,$0.00,https://open.spotify.com/track/3VxX50qusOHWNIAlhTiSgN,Completed,https://music.cobrand.com/promote/c4acddd5-813e-4bc4-a389-280cdb16dfe9/share?token=1EaukcGhxRxsShqE3LslIU7sKfEkhObscQraJIsAdIE,checked,checked,,Paid,Jared,,,checked
Strobez - Inhale Exhale Remix,Strobez,3/21/2025,$0.00,$135.00,$0.00,https://soundcloud.com/strobez-music/inhale-exhale-rmx,Completed,https://music.cobrand.com/promote/8c7b630e-a1a2-40a6-8449-73621d828cde/share?token=zjnhWC3FurmrzVAKHpej5ipW-X90ispMPJy0EcCVMTY,checked,checked,,N/A,Jared,,,checked
My Life - Krupa Remix,Amit Prim8,3/21/2025,$350.00,$250.00,$0.00,https://open.spotify.com/track/0e2ivWr62WqY9pPWz3e9Qt,Completed,https://music.cobrand.com/promote/99a3e8c3-cdf9-46b2-abb4-f63c3b701c1b/share?token=89zOWaqYHM5r_ix1avsUPd7Kvfg0R61T4Ci4aTmoNRU,checked,checked,,Paid,Jared,,,checked
Luhv - Chief Keef Remix,Luhv,3/20/2025,$250.00,$135.00,$0.00,https://soundcloud.com/luhvmusic/chief-keef-semi-on-em-luhv-remix?ref=clipboard&p=i&c=1&si=22F77A39A7044497A831982320816ED2&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/64ba99b7-4422-4e46-8240-d3434b0b3c9a/share?token=Z_WfzDx1h_c3fXPTQFUWuqDvMKUL160NV3KaDJpGv10,,checked,checked,Paid,Jared,,,checked
Segan - Down To Pop,Segan,3/17/2025,$350.00,$135.00,$0.00,https://open.spotify.com/track/1IzwekNme3RkOs7Djz8G2Q,Completed,https://music.cobrand.com/promote/f475559b-6505-42ee-943d-a97fa57994af/share?token=134tZLb5ZUT5TWGrtrNblAnf7kIQdUfqVUpvkAUVGfM,,checked,checked,Paid,Katt,,,checked
Birdsall - Cold Cold Killa,Birdsall,3/10/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/0ZQsYsAoQW6jH0IYJac0Ni,Completed,https://music.cobrand.com/promote/0bde9238-149a-42d6-aabe-5f6a92c36ed1/share?token=uE8MUd0T8O5HgQmPqtujDyFLYnskVQpUq-ShqHoXmZA,,checked,checked,Paid,Jared,,,checked
Typhon - War,"Jared,TYPHON",3/7/2025,$135.00,$135.00,$0.00,,Completed,https://music.cobrand.com/promote/d91986a1-3914-48a5-a6b2-5324190f4769/share?token=JZD4byjuXb2G0qMLqssA20BV6bcISHUZ8V7QAUTHGps,,checked,checked,N/A,Jared,,,checked
Dubloadz - Noise Room,Dubloadz,3/7/2025,$250.00,$135.00,$0.00,,Completed,https://music.cobrand.com/promote/9a0b226a-682b-48e4-a22b-1ec536895a3d/share?token=OcZ2tgK9BOIiuMqd4K7odJWgkxhAxUB8d-d51WRu5xI,,checked,checked,Paid,Jared,,,checked
Dubloadz - Plant Food,Dubloadz,3/7/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/1CDOgZv1l5OpELGrbb7NQY,Completed,https://music.cobrand.com/promote/9a0b226a-682b-48e4-a22b-1ec536895a3d/share?token=OcZ2tgK9BOIiuMqd4K7odJWgkxhAxUB8d-d51WRu5xI,,checked,checked,Paid,Jared,,,checked
EAZLEY - I Know,EAZLEY,3/4/2025,$225.00,$110.00,$0.00,https://open.spotify.com/track/368nPo3GHkLpiyOUnyBKBs,Completed,https://music.cobrand.com/promote/040fbffe-60c5-4417-99da-0267e9a3a4d7/share?token=e_vTPdorT2IfN8GbJE7iymy_X5EG24KDgiSQYDT8vug,,checked,,Paid,Jared,,,checked
Dack Janiels - Panic Attack,"Jared,dack janiels",2/28/2025,$135.00,$135.00,$0.00,https://soundcloud.com/artistinfluence/pa/s-ESRXqFH6S0h?si=3b24effa564d4c66b3a12fab12beba5d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/d6a4a8ef-9244-4694-911d-205f80729cee/share?token=1Ow8luhKwJXagZy40pHuTEoEaqslvc9tJExLcTVFLQY,,checked,,N/A,Jared,,,checked
Gordo - Gordo's Dilemma,Medium Rare,2/27/2025,$700.00,$700.00,$0.00,,Completed,https://music.cobrand.com/promote/0b70b4e4-24f7-4845-8f53-9c085bda8370/share?token=WoglpXrrZZ37ajOiptkr-O-2V7rHBRsZNaP7ukZSGXQ,,checked,,Paid,Jared,,,checked
Xarobaby - Let You Go,Xarobaby,2/26/2025,$300.00,$148.00,$0.00,https://open.spotify.com/track/6MyOqbIUcvKJT0EefzxvO0,Completed,https://artistinfluence.creatorcore.co/client/xarobaby---let-you-go194,,,,Paid,Jared,,,checked
"Jaxomy, Conor Maynard - She's So High",Ultra,2/24/2025,$2000.00,$1400.00,$0.00,https://open.spotify.com/track/4WMKgeG9P3P0Rw9VMP8Ozr,Completed,https://music.cobrand.com/promote/5b83ac78-41fc-4a68-8391-766f6d09ec84/share?token=0I5AkYWoPVLJ8daVEfBb0W3uSGxe463EPwCBFjq7kgU,,checked,checked,Paid,Jared,,,checked
Yung Pooda - Durty Muddy,It's A Ten Records,2/21/2025,$1000.00,$700.00,$700.00,https://www.dropbox.com/scl/fi/mxckfrqqp5v8hepzfm9fz/POODA-FINAL-V2.wav?rlkey=asi7xnzvchqorg1maygg26d6i&st=xjupxusy&dl=0,Cancelled,https://artistinfluence.creatorcore.co/client/yung-pooda---frfr194,,,,Paid,Jared,,,checked
Otaku Hot Girl (VIRX FLIP),VIRX,2/21/2025,$250.00,$250.00,$0.00,https://soundcloud.com/virxmusic/otakuhotgirl/s-VGdLMf4mCtB?si=6867dfaee5344a8a9000bb89cd60ff43&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://artistinfluence.creatorcore.co/client/otaku-hot-girl-virx-flip194,,checked,,Paid,Jared,,,checked
"CURE97, Dirty Audio - Reborn","CURE97,Dirty Audio,GOLD",2/21/2025,$300.00,$300.00,$0.00,https://artistinfluence.creatorcore.co/list/dirty-audio-cure97-gold---reborn-194,Completed,https://artistinfluence.creatorcore.co/client/cure97-dirty-audio---reborn194,,checked,,Paid,Jared,,,checked
CELO - Take It Back,CELO,2/21/2025,$350.00,$250.00,$0.00,https://open.spotify.com/track/54vPWq7mkRQDnSBclBH5S9,Completed,https://artistinfluence.creatorcore.co/client/celo---take-it-back194,,checked,,Paid,Jared,,,checked
Dubloadz - Yo! Unrelease This,Dubloadz,2/17/2025,$250.00,$250.00,$0.00,https://music.cobrand.com/promote/7e25d9fa-4ca1-4244-af06-7c8b197af554/share?token=dxa6zG8s-Xal7fiHNrwS0a1PKLbxzAu_MNVSw9LJSfk,Completed,https://music.cobrand.com/promote/7e25d9fa-4ca1-4244-af06-7c8b197af554/share?token=dxa6zG8s-Xal7fiHNrwS0a1PKLbxzAu_MNVSw9LJSfk,,checked,checked,Paid,Jared,,,checked
Kozmoz - The Kill,Kozmoz,2/14/2025,$250.00,$250.00,$0.00,https://soundcloud.com/iamkozmoz/kozmoz-x-micah-martin-x-talix/s-EHP8J3sTduG?si=09f406214ac649fcb1e6741fd7724695&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://artistinfluence.creatorcore.co/client/kozmoz-micah-martin-talix---the-kill194,,checked,,Paid,Jared,,,checked
Odd Language - STRAPPA,Jared,2/14/2025,$135.00,$135.00,$0.00,https://drive.google.com/file/d/1BbFFPhSRJzlOLK7-KQu6_L5Va6-JS0SC/view?usp=drive_link,Completed,https://artistinfluence.creatorcore.co/client/odd-language---strappa194,checked,checked,,Paid,Jared,,,checked
"Slippy, 7KY - Catch Your Eye",Beacon,2/14/2025,$250.00,$250.00,$0.00,https://open.spotify.com/track/1U7JYktClcAapiFuROzS23,Completed,https://artistinfluence.creatorcore.co/client/slippy-7ky---catch-your-eye194,checked,,,Paid,Jared,,,checked
"REAPER, AMAGII - BODY WORK","Beacon,AMAGII",2/5/2025,$350.00,$350.00,$0.00,https://artistinfluence.creatorcore.co/client/reaper-amagii---body-work194,Completed,https://music.cobrand.com/promote/d49d51d6-ceb8-4141-8498-4cf8872e6df4/share?token=XMJ9VrRs4wCh6JaWfqZJKr_BY5iBpVgnOvfntJRayeQ,,checked,,Paid,Jared,,,checked
WHYNOTUS - Rob The Casino,"Jared,WHYNOTUS",1/24/2025,$335.00,$335.00,$0.00,https://on.soundcloud.com/XrrjM8vAJDuDtN2K8,Completed,https://artistinfluence.creatorcore.co/client/whynotus---rob-the-casino194,,checked,,Paid,Jared,,,checked
"CELO, KOZMOZ - SMACKDOWN",CELO,1/17/2025,$350.00,$350.00,$0.00,https://on.soundcloud.com/xBaZQGrvPJER5e3v7,Completed,N/A,,,,Paid,Jared,,,checked
Anyma - Sphere,Atlantic Records (Kyle),1/1/2025,$2000.00,$1400.00,$0.00,N/A,Completed,https://artistinfluence.creatorcore.co/client/anyma-sphere194,,,,Paid,Jared,,,checked
"Felmax, DJ Afterthought - Divergent Fist",Jared,12/20/2024,$150.00,$150.00,$0.00,https://soundcloud.com/artistinfluence/df/s-w57T5Mx0AQ1?si=90fe19057fc44618a253bcb85e0c9c3b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,N/A,,,,Paid,Jared,,,checked
EAZLEY - Nanana Remix,EAZLEY,12/12/2024,$250.00,$250.00,$0.00,https://on.soundcloud.com/DoWzJhHmqEKKiXsm7,Completed,https://artistinfluence.creatorcore.co/client/nanana---eazley-remix194,,,checked,Paid,Jared,,,checked
Neon Pony - Fiji Mix,Neon Pony,12/5/2024,$1500.00,$1200.00,$0.00,https://soundcloud.com/neonponymusic/beats-in-hidden-retreats-episode-1-live-in-fiji/s-pF7EMRAG55s?si=8c88f596047942909b56e03f8ba6a4d9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://artistinfluence.creatorcore.co/client/neon-pony---fiji-mix194,,,,Paid,Jared,,"PR: https://drive.google.com/drive/folders/1flxw0Tdiz7o1nn-3_assWzefLH6bgRnk?usp=sharing

SC Link: https://soundcloud.com/neonponymusic/beats-in-hidden-retreats-episode-1-live-in-fiji/s-pF7EMRAG55s?si=8c88f596047942909b56e03f8ba6a4d9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing

YT Mix Link: https://youtu.be/kZxdRjcUo20

Reel Clips: TBD",checked
DJ TURN IT UP - AMAGII Remix,AMAGII,12/4/2024,$125.00,$175.00,$125.00,https://soundcloud.com/itsamagii/dimension-dj-turn-it-up-amagii-remix-final,Cancelled,https://artistinfluence.creatorcore.co/client/dj-turn-it-up---amagii-remix194,,,,Paid,Jared,,,checked
Anyma x FKA Twigs Remix,Atlantic Records (Kyle),12/4/2024,$1000.00,$700.00,$0.00,N/A,Completed,https://artistinfluence.creatorcore.co/client/anyma-x-fka-twigs194,,,,Paid,Jared,,,checked
Butcher Babies - Sincerity,Judge & Jury,11/20/2024,$200.00,$200.00,$0.00,,Completed,https://artistinfluence.creatorcore.co/client/butcher-babies---sincerity194,,,,Paid,Jared,,,checked
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Kryture,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
